A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-B1f,PRE-O3,POST-B1f-H1,POST-O3,,8.65,8.60,0.05
PRE-B1f,PRE-O3,POST-B1f-H2,POST-O3,,11.62,12.80,-1.18
PRE-B1f,PRE-O3,POST-B1f-H3,POST-O3,,13.50,14.40,-0.90
PRE-B1h,PRE-O3,POST-B1h-H2,POST-O3,,10.68,10.60,0.08
PRE-B1h,PRE-O3,POST-B1h-H3,POST-O3,,11.36,8.70,2.66
PRE-B1j,PRE-O3,POST-B1j-H1,POST-O3,,13.40,14.30,-0.90
PRE-B1j,PRE-O3,POST-B1j-H2,POST-O3,,12.76,13.50,-0.74
PRE-B1j,PRE-O3,POST-B1j-H3,POST-O3,,14.09,14.60,-0.51
PRE-B1k,PRE-O3,POST-B1k-H1,POST-O3,,16.00,16.90,-0.90
PRE-B1k,PRE-O3,POST-B1k-H2,POST-O3,,12.82,13.20,-0.38
PRE-B1k,PRE-O3,POST-B1k-H3,POST-O3,,14.04,14.30,-0.26
PRE-B1l,PRE-O3,POST-B1l-H1,POST-O3,,12.88,13.00,-0.12
PRE-B1l,PRE-O3,POST-B1l-H2,POST-O3,,11.97,10.50,1.47
PRE-B1l,PRE-O3,POST-B1l-H3,POST-O3,,14.19,15.50,-1.31
PRE-B1m,PRE-O3,POST-B1m-H1,POST-O3,,11.60,12.00,-0.40
PRE-B1m,PRE-O3,POST-B1m-H2,POST-O3,,11.21,12.10,-0.89
PRE-B1m,PRE-O3,POST-B1m-H3,POST-O3,,13.80,14.20,-0.40
PRE-B1n,PRE-O3,POST-B1n-H1,POST-O3,,5.60,6.00,-0.40
PRE-B1n,PRE-O3,POST-B1n-H2,POST-O3,,10.26,8.60,1.66
PRE-B1n,PRE-O3,POST-B1n-H3,POST-O3,,13.26,13.60,-0.34
PRE-B2a,PRE-O3,POST-B2a-H1,POST-O3,,9.68,9.80,-0.12
PRE-B2a,PRE-O3,POST-B2a-H2,POST-O3,,14.01,14.40,-0.39
PRE-B2b,PRE-O3,POST-B2b-H1,POST-O3,,12.55,12.20,0.35
PRE-B2b,PRE-O3,POST-B2b-H2,POST-O3,,14.85,14.30,0.55
PRE-B2c,PRE-O3,POST-B2c-H1,POST-O3,,5.99,6.00,-0.01
PRE-B2c,PRE-O3,POST-B2c-H2,POST-O3,,13.96,15.00,-1.04
PRE-B2d,PRE-O3,POST-B2d-H1,POST-O3,,14.76,14.70,0.06
PRE-B2d,PRE-O3,POST-B2d-H2,POST-O3,,15.28,14.70,0.58
PRE-B2e,PRE-O3,POST-B2e-H1,POST-O3,,8.22,8.40,-0.18
PRE-B2e,PRE-O3,POST-B2e-H2,POST-O3,,13.26,13.50,-0.24
PRE-B2f,PRE-O3,POST-B2f-H1,POST-O3,,8.20,9.30,-1.10
PRE-B2f,PRE-O3,POST-B2f-H2,POST-O3,,14.07,14.30,-0.23
PRE-B2h,PRE-O3,POST-B2h-H2,POST-O3,,11.89,9.40,2.49
PRE-B2j,PRE-O3,POST-B2j-H1,POST-O3,,11.63,12.10,-0.47
PRE-B2j,PRE-O3,POST-B2j-H2,POST-O3,,14.87,14.50,0.37
PRE-B2k,PRE-O3,POST-B2k-H1,POST-O3,,13.15,13.10,0.05
PRE-B2k,PRE-O3,POST-B2k-H2,POST-O3,,15.33,16.40,-1.07
PRE-B2l,PRE-O3,POST-B2l-H1,POST-O3,,10.81,10.30,0.51
PRE-B2l,PRE-O3,POST-B2l-H2,POST-O3,,13.73,14.40,-0.67
PRE-B2m,PRE-O3,POST-B2m-H1,POST-O3,,9.90,10.20,-0.30
PRE-B2m,PRE-O3,POST-B2m-H2,POST-O3,,13.66,14.70,-1.04
PRE-B2n,PRE-O3,POST-B2n-H1,POST-O3,,5.76,5.30,0.46
PRE-B2n,PRE-O3,POST-B2n-H2,POST-O3,,13.02,13.30,-0.28
PRE-C1a,PRE-O3,POST-C1a-H1,POST-O3,,10.60,11.30,-0.70
PRE-C1b,PRE-O3,POST-C1b-H1,POST-O3,,13.06,13.50,-0.44
PRE-C1c,PRE-O3,POST-C1c-H1,POST-O3,,7.92,8.50,-0.58
PRE-C1d,PRE-O3,POST-C1d-H1,POST-O3,,15.64,18.20,-2.56
PRE-C1e,PRE-O3,POST-C1e-H1,POST-O3,,9.80,10.10,-0.30
PRE-C1f,PRE-O3,POST-C1f-H1,POST-O3,,8.58,9.00,-0.42
PRE-C1i,PRE-O3,POST-C1i-H1,POST-O3,,11.93,12.00,-0.07
PRE-C1j,PRE-O3,POST-C1j-H1,POST-O3,,12.55,13.80,-1.25
PRE-C1k,PRE-O3,POST-C1k-H1,POST-O3,,14.28,14.60,-0.32
PRE-C1l,PRE-O3,POST-C1l-H1,POST-O3,,12.00,13.00,-1.00
PRE-C1m,PRE-O3,POST-C1m-H1,POST-O3,,10.30,10.20,0.10
PRE-C1n,PRE-O3,POST-C1n-H1,POST-O3,,6.30,6.30,-0.00
PRE-D1a,PRE-O3,POST-D1a-H1,POST-O3,,9.42,9.40,0.02
PRE-D1b,PRE-O3,POST-D1b-H1,POST-O3,,11.66,11.50,0.16
PRE-D1c,PRE-O3,POST-D1c-H1,POST-O3,,6.26,7.00,-0.74
PRE-D1d,PRE-O3,POST-D1d-H1,POST-O3,,14.20,15.00,-0.80
PRE-D1e,PRE-O3,POST-D1e-H1,POST-O3,,9.34,10.70,-1.36
PRE-D1f,PRE-O3,POST-D1f-H1,POST-O3,,8.46,9.60,-1.14
PRE-D1h,PRE-O3,POST-D1h-H1,POST-O3,,8.38,9.60,-1.22
PRE-D1j,PRE-O3,POST-D1j-H1,POST-O3,,11.33,12.00,-0.67
PRE-D1k,PRE-O3,POST-D1k-H1,POST-O3,,12.94,13.00,-0.06
PRE-D1l,PRE-O3,POST-D1l-H1,POST-O3,,11.69,11.30,0.39
PRE-D1m,PRE-O3,POST-D1m-H1,POST-O3,,10.79,11.50,-0.71
PRE-D1n,PRE-O3,POST-D1n-H1,POST-O3,,6.53,6.50,0.03
PRE-E1a,PRE-O3,POST-E1a-H1,POST-O3,,11.82,11.70,0.12
PRE-E1b,PRE-O3,POST-E1b-H1,POST-O3,,13.94,14.40,-0.46
PRE-E1c,PRE-O3,POST-E1c-H1,POST-O3,,8.96,10.60,-1.64
PRE-E1d,PRE-O3,POST-E1d-H1,POST-O3,,16.20,14.90,1.30
PRE-E1e,PRE-O3,POST-E1e-H1,POST-O3,,10.43,10.40,0.03
PRE-E1f,PRE-O3,POST-E1f-H1,POST-O3,,10.22,10.40,-0.18
PRE-E1i,PRE-O3,POST-E1i-H1,POST-O3,,12.20,13.00,-0.80
PRE-E1j,PRE-O3,POST-E1j-H1,POST-O3,,13.71,13.80,-0.09
PRE-E1k,PRE-O3,POST-E1k-H1,POST-O3,,14.56,15.10,-0.54
PRE-E1l,PRE-O3,POST-E1l-H1,POST-O3,,13.48,13.80,-0.32
PRE-E1m,PRE-O3,POST-E1m-H1,POST-O3,,11.82,11.70,0.12
PRE-E1n,PRE-O3,POST-E1n-H1,POST-O3,,7.94,8.40,-0.46
PRE-F1a,PRE-O3,POST-F1a-H1,POST-O3,,9.92,10.00,-0.08
PRE-F1b,PRE-O3,POST-F1b-H1,POST-O3,,12.58,12.50,0.08
PRE-F1c,PRE-O3,POST-F1c-H1,POST-O3,,6.65,7.20,-0.55
PRE-F1d,PRE-O3,POST-F1d-H1,POST-O3,,16.18,16.40,-0.22
PRE-F1e,PRE-O3,POST-F1e-H1,POST-O3,,10.38,11.40,-1.02
PRE-F1f,PRE-O3,POST-F1f-H1,POST-O3,,8.95,9.90,-0.95
PRE-F1j,PRE-O3,POST-F1j-H1,POST-O3,,12.24,12.50,-0.26
PRE-F1k,PRE-O3,POST-F1k-H1,POST-O3,,14.26,14.50,-0.24
PRE-F1l,PRE-O3,POST-F1l-H1,POST-O3,,12.89,13.40,-0.51
PRE-F1m,PRE-O3,POST-F1m-H1,POST-O3,,13.17,15.60,-2.43
PRE-F1n,PRE-O3,POST-F1n-H1,POST-O3,,6.89,6.00,0.89
PRE-G1a,PRE-O3,POST-G1a-H1,POST-O3,,11.27,11.70,-0.43
PRE-G1b,PRE-O3,POST-G1b-H1,POST-O3,,13.90,14.00,-0.10
PRE-G1c,PRE-O3,POST-G1c-H1,POST-O3,,7.16,7.20,-0.04
PRE-G1d,PRE-O3,POST-G1d-H1,POST-O3,,17.43,20.40,-2.97
PRE-G1e,PRE-O3,POST-G1e-H1,POST-O3,,10.12,11.70,-1.58
PRE-G1f,PRE-O3,POST-G1f-H1,POST-O3,,9.49,10.40,-0.91
PRE-G1i,PRE-O3,POST-G1i-H1,POST-O3,,12.57,13.80,-1.23
PRE-G1j,PRE-O3,POST-G1j-H1,POST-O3,,13.59,13.10,0.49
PRE-G1k,PRE-O3,POST-G1k-H1,POST-O3,,15.73,16.00,-0.27
PRE-G1l,PRE-O3,POST-G1l-H1,POST-O3,,13.91,14.80,-0.89
PRE-G1m,PRE-O3,POST-G1m-H1,POST-O3,,12.96,14.40,-1.44
PRE-G1n,PRE-O3,POST-G1n-H1,POST-O3,,6.74,7.20,-0.46
PRE-H1a,PRE-O3,POST-H1a-H1,POST-O3,,10.20,10.10,0.10
PRE-H1b,PRE-O3,POST-H1b-H1,POST-O3,,12.37,12.40,-0.03
PRE-H1c,PRE-O3,POST-H1c-H1,POST-O3,,7.45,6.90,0.55
PRE-H1d,PRE-O3,POST-H1d-H1,POST-O3,,14.41,15.80,-1.39
PRE-H1e,PRE-O3,POST-H1e-H1,POST-O3,,9.05,10.00,-0.95
PRE-H1f,PRE-O3,POST-H1f-H1,POST-O3,,9.63,10.80,-1.17
PRE-H1j,PRE-O3,POST-H1j-H1,POST-O3,,12.08,12.40,-0.32
PRE-H1k,PRE-O3,POST-H1k-H1,POST-O3,,13.65,13.50,0.15
PRE-H1l,PRE-O3,POST-H1l-H1,POST-O3,,11.64,11.60,0.04
PRE-H1m,PRE-O3,POST-H1m-H1,POST-O3,,10.77,10.60,0.17
PRE-H1n,PRE-O3,POST-H1n-H1,POST-O3,,7.81,9.80,-1.99
PRE-I1a,PRE-O3,POST-I1a-H1,POST-O3,,7.63,8.30,-0.67
PRE-I1b,PRE-O3,POST-I1b-H1,POST-O3,,9.61,9.30,0.31
PRE-I1c,PRE-O3,POST-I1c-H1,POST-O3,,6.76,6.80,-0.04
PRE-I1d,PRE-O3,POST-I1d-H1,POST-O3,,10.01,10.20,-0.19
PRE-I1e,PRE-O3,POST-I1e-H1,POST-O3,,8.36,9.10,-0.74
PRE-I1f,PRE-O3,POST-I1f-H1,POST-O3,,7.89,9.30,-1.41
PRE-I1j,PRE-O3,POST-I1j-H1,POST-O3,,9.34,10.40,-1.06
PRE-I1k,PRE-O3,POST-I1k-H1,POST-O3,,8.84,9.20,-0.36
PRE-I1l,PRE-O3,POST-I1l-H1,POST-O3,,7.88,6.20,1.68
PRE-I1m,PRE-O3,POST-I1m-H1,POST-O3,,7.62,7.70,-0.08
PRE-I1n,PRE-O3,POST-I1n-H1,POST-O3,,7.56,7.50,0.06
PRE-J1a,PRE-O3,POST-J1a-H1,POST-O3,,9.47,10.20,-0.73
PRE-J1b,PRE-O3,POST-J1b-H1,POST-O3,,9.86,9.80,0.06
PRE-J1c,PRE-O3,POST-J1c-H1,POST-O3,,8.70,9.40,-0.70
PRE-J1d,PRE-O3,POST-J1d-H1,POST-O3,,9.98,10.00,-0.02
PRE-J1e,PRE-O3,POST-J1e-H1,POST-O3,,9.48,9.80,-0.32
PRE-J1f,PRE-O3,POST-J1f-H1,POST-O3,,9.22,9.60,-0.38
PRE-J1h,PRE-O3,POST-J1h-H1,POST-O3,,9.21,9.50,-0.29
PRE-J1i,PRE-O3,POST-J1i-H1,POST-O3,,9.50,9.70,-0.20
PRE-J1j,PRE-O3,POST-J1j-H1,POST-O3,,9.78,10.10,-0.32
PRE-J1k,PRE-O3,POST-J1k-H1,POST-O3,,10.04,10.70,-0.66
PRE-J1l,PRE-O3,POST-J1l-H1,POST-O3,,9.71,9.80,-0.09
PRE-J1m,PRE-O3,POST-J1m-H1,POST-O3,,9.49,9.80,-0.31
PRE-J1n,PRE-O3,POST-J1n-H1,POST-O3,,8.94,10.10,-1.16
PRE-SI1,PRE-O3,POST-SI1-H1,POST-O3,,7.38,8.30,-0.92
PRE-SI2,PRE-O3,POST-SI2-H1,POST-O3,,7.62,7.30,0.32
PRE-SI3,PRE-O3,POST-SI3-H1,POST-O3,,7.82,8.00,-0.18
PRE-A1a,PRE-O4,POST-A1a-H1,POST-O4,,15.80,16.10,-0.30
PRE-A1b,PRE-O4,POST-A1b-H1,POST-O4,,19.55,19.90,-0.35
PRE-A1c,PRE-O4,POST-A1c-H1,POST-O4,,12.22,12.80,-0.58
PRE-A1d,PRE-O4,POST-A1d-H1,POST-O4,,21.43,21.80,-0.37
PRE-A1e,PRE-O4,POST-A1e-H1,POST-O4,,13.99,14.40,-0.41
PRE-A1f,PRE-O4,POST-A1f-H1,POST-O4,,13.92,13.90,0.02
PRE-A1h,PRE-O4,POST-A1h-H1,POST-O4,,14.11,14.90,-0.79
PRE-A1i,PRE-O4,POST-A1i-H1,POST-O4,,18.56,18.20,0.36
PRE-A1j,PRE-O4,POST-A1j-H1,POST-O4,,17.84,18.40,-0.56
PRE-A1k,PRE-O4,POST-A1k-H1,POST-O4,,22.14,22.50,-0.36
PRE-A1l,PRE-O4,POST-A1l-H1,POST-O4,,17.99,18.20,-0.21
PRE-A1m,PRE-O4,POST-A1m-H1,POST-O4,,17.45,17.80,-0.35
PRE-A1n,PRE-O4,POST-A1n-H1,POST-O4,,11.26,13.10,-1.84
PRE-B1a,PRE-O4,POST-B1a-H1,POST-O4,,14.73,15.10,-0.37
PRE-B1a,PRE-O4,POST-B1a-H3,POST-O4,,16.84,17.40,-0.56
PRE-B1b,PRE-O4,POST-B1b-H1,POST-O4,,17.24,18.10,-0.86
PRE-B1b,PRE-O4,POST-B1b-H2,POST-O4,,16.38,16.30,0.08
PRE-B1b,PRE-O4,POST-B1b-H3,POST-O4,,17.75,18.20,-0.45
PRE-B1c,PRE-O4,POST-B1c-H1,POST-O4,,12.48,12.70,-0.22
PRE-B1c,PRE-O4,POST-B1c-H2,POST-O4,,15.42,15.10,0.32
PRE-B1c,PRE-O4,POST-B1c-H3,POST-O4,,17.18,17.40,-0.22
PRE-B1d,PRE-O4,POST-B1d-H1,POST-O4,,19.06,19.60,-0.54
PRE-B1d,PRE-O4,POST-B1d-H2,POST-O4,,17.21,17.40,-0.19
PRE-B1d,PRE-O4,POST-B1d-H3,POST-O4,,18.29,18.80,-0.51
PRE-B1e,PRE-O4,POST-B1e-H1,POST-O4,,13.75,14.30,-0.55
PRE-B1e,PRE-O4,POST-B1e-H2,POST-O4,,15.72,17.00,-1.28
PRE-B1e,PRE-O4,POST-B1e-H3,POST-O4,,17.38,17.70,-0.32
PRE-B1f,PRE-O4,POST-B1f-H1,POST-O4,,13.37,13.30,0.07
PRE-B1f,PRE-O4,POST-B1f-H2,POST-O4,,15.98,16.30,-0.32
PRE-B1f,PRE-O4,POST-B1f-H3,POST-O4,,17.28,17.30,-0.02
PRE-B1g,PRE-O4,POST-B1g-H1,POST-O4,,14.71,14.30,0.41
PRE-B1g,PRE-O4,POST-B1g-H2,POST-O4,,16.94,18.70,-1.76
PRE-B1g,PRE-O4,POST-B1g-H3,POST-O4,,17.51,17.90,-0.39
PRE-B1h,PRE-O4,POST-B1h-H1,POST-O4,,13.44,13.80,-0.36
PRE-B1h,PRE-O4,POST-B1h-H2,POST-O4,,15.64,15.30,0.34
PRE-B1h,PRE-O4,POST-B1h-H3,POST-O4,,17.01,17.60,-0.59
PRE-B1j,PRE-O4,POST-B1j-H1,POST-O4,,16.79,17.10,-0.31
PRE-B1j,PRE-O4,POST-B1j-H2,POST-O4,,16.26,16.80,-0.54
PRE-B1j,PRE-O4,POST-B1j-H3,POST-O4,,17.50,18.00,-0.50
PRE-B1k,PRE-O4,POST-B1k-H1,POST-O4,,19.44,20.50,-1.06
PRE-B1k,PRE-O4,POST-B1k-H2,POST-O4,,16.42,16.70,-0.28
PRE-B1k,PRE-O4,POST-B1k-H3,POST-O4,,17.53,18.10,-0.57
PRE-B1l,PRE-O4,POST-B1l-H1,POST-O4,,16.63,16.90,-0.27
PRE-B1l,PRE-O4,POST-B1l-H2,POST-O4,,15.93,16.00,-0.07
PRE-B1l,PRE-O4,POST-B1l-H3,POST-O4,,17.32,17.80,-0.48
PRE-B1m,PRE-O4,POST-B1m-H1,POST-O4,,16.09,16.40,-0.31
PRE-B1m,PRE-O4,POST-B1m-H2,POST-O4,,15.52,16.70,-1.18
PRE-B1m,PRE-O4,POST-B1m-H3,POST-O4,,17.02,17.30,-0.28
PRE-B1n,PRE-O4,POST-B1n-H1,POST-O4,,11.69,12.30,-0.61
PRE-B1n,PRE-O4,POST-B1n-H2,POST-O4,,15.29,16.00,-0.71
PRE-B1n,PRE-O4,POST-B1n-H3,POST-O4,,17.14,17.50,-0.36
PRE-B2a,PRE-O4,POST-B2a-H1,POST-O4,,13.94,14.50,-0.56
PRE-B2a,PRE-O4,POST-B2a-H2,POST-O4,,17.16,17.20,-0.04
PRE-B2b,PRE-O4,POST-B2b-H1,POST-O4,,15.62,15.40,0.22
PRE-B2b,PRE-O4,POST-B2b-H2,POST-O4,,18.80,19.10,-0.30
PRE-B2c,PRE-O4,POST-B2c-H1,POST-O4,,11.81,12.80,-0.99
PRE-B2c,PRE-O4,POST-B2c-H2,POST-O4,,17.72,18.50,-0.78
PRE-B2d,PRE-O4,POST-B2d-H1,POST-O4,,17.39,17.90,-0.51
PRE-B2d,PRE-O4,POST-B2d-H2,POST-O4,,19.30,19.10,0.20
PRE-B2e,PRE-O4,POST-B2e-H1,POST-O4,,13.21,13.70,-0.49
PRE-B2e,PRE-O4,POST-B2e-H2,POST-O4,,17.55,18.10,-0.55
PRE-B2f,PRE-O4,POST-B2f-H1,POST-O4,,13.05,13.40,-0.35
PRE-B2f,PRE-O4,POST-B2f-H2,POST-O4,,17.84,18.80,-0.96
PRE-B2g,PRE-O4,POST-B2g-H2,POST-O4,,18.34,19.40,-1.06
PRE-B2h,PRE-O4,POST-B2h-H1,POST-O4,,12.81,13.40,-0.59
PRE-B2h,PRE-O4,POST-B2h-H2,POST-O4,,17.67,17.70,-0.03
PRE-B2j,PRE-O4,POST-B2j-H1,POST-O4,,15.61,16.20,-0.59
PRE-B2j,PRE-O4,POST-B2j-H2,POST-O4,,18.50,19.00,-0.50
PRE-B2k,PRE-O4,POST-B2k-H1,POST-O4,,17.35,18.10,-0.75
PRE-B2k,PRE-O4,POST-B2k-H2,POST-O4,,18.67,19.10,-0.43
PRE-B2l,PRE-O4,POST-B2l-H1,POST-O4,,14.96,14.70,0.26
PRE-B2l,PRE-O4,POST-B2l-H2,POST-O4,,17.44,17.60,-0.16
PRE-B2m,PRE-O4,POST-B2m-H1,POST-O4,,14.77,15.30,-0.53
PRE-B2m,PRE-O4,POST-B2m-H2,POST-O4,,17.18,17.10,0.08
PRE-B2n,PRE-O4,POST-B2n-H1,POST-O4,,11.14,12.40,-1.26
PRE-B2n,PRE-O4,POST-B2n-H2,POST-O4,,17.26,17.50,-0.24
PRE-C1a,PRE-O4,POST-C1a-H1,POST-O4,,14.46,15.20,-0.74
PRE-C1b,PRE-O4,POST-C1b-H1,POST-O4,,15.66,16.30,-0.64
PRE-C1c,PRE-O4,POST-C1c-H1,POST-O4,,12.76,13.90,-1.14
PRE-C1d,PRE-O4,POST-C1d-H1,POST-O4,,17.29,17.60,-0.31
PRE-C1e,PRE-O4,POST-C1e-H1,POST-O4,,13.55,13.90,-0.35
PRE-C1f,PRE-O4,POST-C1f-H1,POST-O4,,13.21,14.20,-0.99
PRE-C1g,PRE-O4,POST-C1g-H1,POST-O4,,14.40,15.40,-1.00
PRE-C1h,PRE-O4,POST-C1h-H1,POST-O4,,13.61,13.50,0.11
PRE-C1i,PRE-O4,POST-C1i-H1,POST-O4,,15.08,16.00,-0.92
PRE-C1j,PRE-O4,POST-C1j-H1,POST-O4,,16.25,17.10,-0.85
PRE-C1k,PRE-O4,POST-C1k-H1,POST-O4,,17.05,18.60,-1.55
PRE-C1l,PRE-O4,POST-C1l-H1,POST-O4,,15.11,15.30,-0.19
PRE-C1m,PRE-O4,POST-C1m-H1,POST-O4,,14.96,15.20,-0.24
PRE-C1n,PRE-O4,POST-C1n-H1,POST-O4,,11.95,13.40,-1.45
PRE-D1a,PRE-O4,POST-D1a-H1,POST-O4,,13.45,13.70,-0.25
PRE-D1b,PRE-O4,POST-D1b-H1,POST-O4,,15.27,15.60,-0.33
PRE-D1c,PRE-O4,POST-D1c-H1,POST-O4,,12.45,13.20,-0.75
PRE-D1d,PRE-O4,POST-D1d-H1,POST-O4,,16.87,17.50,-0.63
PRE-D1e,PRE-O4,POST-D1e-H1,POST-O4,,13.52,13.70,-0.18
PRE-D1f,PRE-O4,POST-D1f-H1,POST-O4,,13.30,13.20,0.10
PRE-D1h,PRE-O4,POST-D1h-H1,POST-O4,,12.92,12.90,0.02
PRE-D1j,PRE-O4,POST-D1j-H1,POST-O4,,15.27,16.10,-0.83
PRE-D1k,PRE-O4,POST-D1k-H1,POST-O4,,16.85,17.10,-0.25
PRE-D1l,PRE-O4,POST-D1l-H1,POST-O4,,15.05,15.40,-0.35
PRE-D1m,PRE-O4,POST-D1m-H1,POST-O4,,14.91,15.10,-0.19
PRE-D1n,PRE-O4,POST-D1n-H1,POST-O4,,12.54,15.20,-2.66
PRE-E1a,PRE-O4,POST-E1a-H1,POST-O4,,15.27,16.00,-0.73
PRE-E1b,PRE-O4,POST-E1b-H1,POST-O4,,16.92,16.80,0.12
PRE-E1c,PRE-O4,POST-E1c-H1,POST-O4,,13.40,14.50,-1.10
PRE-E1d,PRE-O4,POST-E1d-H1,POST-O4,,18.34,18.90,-0.56
PRE-E1e,PRE-O4,POST-E1e-H1,POST-O4,,14.07,14.60,-0.53
PRE-E1f,PRE-O4,POST-E1f-H1,POST-O4,,14.48,14.70,-0.22
PRE-E1g,PRE-O4,POST-E1g-H1,POST-O4,,14.29,14.90,-0.61
PRE-E1h,PRE-O4,POST-E1h-H1,POST-O4,,14.23,15.10,-0.87
PRE-E1i,PRE-O4,POST-E1i-H1,POST-O4,,15.85,17.00,-1.15
PRE-E1j,PRE-O4,POST-E1j-H1,POST-O4,,16.40,16.90,-0.50
PRE-E1k,PRE-O4,POST-E1k-H1,POST-O4,,18.01,19.10,-1.09
PRE-E1l,PRE-O4,POST-E1l-H1,POST-O4,,16.51,16.30,0.21
PRE-E1m,PRE-O4,POST-E1m-H1,POST-O4,,15.80,16.20,-0.40
PRE-E1n,PRE-O4,POST-E1n-H1,POST-O4,,13.21,14.20,-0.99
PRE-F1a,PRE-O4,POST-F1a-H1,POST-O4,,14.39,15.10,-0.71
PRE-F1b,PRE-O4,POST-F1b-H1,POST-O4,,15.91,15.50,0.41
PRE-F1c,PRE-O4,POST-F1c-H1,POST-O4,,12.52,13.80,-1.28
PRE-F1d,PRE-O4,POST-F1d-H1,POST-O4,,18.53,19.20,-0.67
PRE-F1e,PRE-O4,POST-F1e-H1,POST-O4,,14.09,14.40,-0.31
PRE-F1f,PRE-O4,POST-F1f-H1,POST-O4,,13.82,14.30,-0.48
PRE-F1h,PRE-O4,POST-F1h-H1,POST-O4,,13.65,13.90,-0.25
PRE-F1j,PRE-O4,POST-F1j-H1,POST-O4,,16.30,17.20,-0.90
PRE-F1k,PRE-O4,POST-F1k-H1,POST-O4,,18.33,19.40,-1.07
PRE-F1l,PRE-O4,POST-F1l-H1,POST-O4,,16.61,18.00,-1.39
PRE-F1m,PRE-O4,POST-F1m-H1,POST-O4,,16.55,16.60,-0.05
PRE-F1n,PRE-O4,POST-F1n-H1,POST-O4,,12.80,14.60,-1.80
PRE-G1a,PRE-O4,POST-G1a-H1,POST-O4,,14.48,15.00,-0.52
PRE-G1b,PRE-O4,POST-G1b-H1,POST-O4,,16.49,16.90,-0.41
PRE-G1c,PRE-O4,POST-G1c-H1,POST-O4,,13.04,13.60,-0.56
PRE-G1d,PRE-O4,POST-G1d-H1,POST-O4,,19.05,19.30,-0.25
PRE-G1e,PRE-O4,POST-G1e-H1,POST-O4,,14.07,14.80,-0.73
PRE-G1f,PRE-O4,POST-G1f-H1,POST-O4,,13.54,14.20,-0.66
PRE-G1g,PRE-O4,POST-G1g-H1,POST-O4,,14.43,14.20,0.23
PRE-G1h,PRE-O4,POST-G1h-H1,POST-O4,,13.60,13.60,-0.00
PRE-G1i,PRE-O4,POST-G1i-H1,POST-O4,,15.57,16.60,-1.03
PRE-G1j,PRE-O4,POST-G1j-H1,POST-O4,,16.49,17.50,-1.01
PRE-G1k,PRE-O4,POST-G1k-H1,POST-O4,,18.65,20.20,-1.55
PRE-G1l,PRE-O4,POST-G1l-H1,POST-O4,,17.11,17.70,-0.59
PRE-G1m,PRE-O4,POST-G1m-H1,POST-O4,,16.10,16.30,-0.20
PRE-G1n,PRE-O4,POST-G1n-H1,POST-O4,,12.00,12.50,-0.50
PRE-H1a,PRE-O4,POST-H1a-H1,POST-O4,,14.42,14.20,0.22
PRE-H1b,PRE-O4,POST-H1b-H1,POST-O4,,15.24,15.30,-0.06
PRE-H1c,PRE-O4,POST-H1c-H1,POST-O4,,12.86,13.00,-0.14
PRE-H1d,PRE-O4,POST-H1d-H1,POST-O4,,16.77,16.80,-0.03
PRE-H1e,PRE-O4,POST-H1e-H1,POST-O4,,13.11,13.30,-0.19
PRE-H1f,PRE-O4,POST-H1f-H1,POST-O4,,13.64,14.10,-0.46
PRE-H1h,PRE-O4,POST-H1h-H1,POST-O4,,13.71,14.20,-0.49
PRE-H1j,PRE-O4,POST-H1j-H1,POST-O4,,15.86,16.30,-0.44
PRE-H1k,PRE-O4,POST-H1k-H1,POST-O4,,16.75,17.40,-0.65
PRE-H1l,PRE-O4,POST-H1l-H1,POST-O4,,14.94,15.70,-0.76
PRE-H1m,PRE-O4,POST-H1m-H1,POST-O4,,15.14,14.90,0.24
PRE-H1n,PRE-O4,POST-H1n-H1,POST-O4,,13.39,14.60,-1.21
PRE-I1a,PRE-O4,POST-I1a-H1,POST-O4,,12.21,12.30,-0.09
PRE-I1b,PRE-O4,POST-I1b-H1,POST-O4,,13.95,14.10,-0.15
PRE-I1c,PRE-O4,POST-I1c-H1,POST-O4,,11.59,11.50,0.09
PRE-I1d,PRE-O4,POST-I1d-H1,POST-O4,,13.84,14.30,-0.46
PRE-I1e,PRE-O4,POST-I1e-H1,POST-O4,,12.60,11.40,1.20
PRE-I1f,PRE-O4,POST-I1f-H1,POST-O4,,12.53,12.60,-0.07
PRE-I1h,PRE-O4,POST-I1h-H1,POST-O4,,11.85,12.70,-0.85
PRE-I1j,PRE-O4,POST-I1j-H1,POST-O4,,13.26,13.40,-0.14
PRE-I1k,PRE-O4,POST-I1k-H1,POST-O4,,13.27,13.40,-0.13
PRE-I1l,PRE-O4,POST-I1l-H1,POST-O4,,12.80,12.90,-0.10
PRE-I1m,PRE-O4,POST-I1m-H1,POST-O4,,12.27,12.90,-0.63
PRE-I1n,PRE-O4,POST-I1n-H1,POST-O4,,12.38,13.50,-1.12
PRE-J1a,PRE-O4,POST-J1a-H1,POST-O4,,13.36,13.70,-0.34
PRE-J1b,PRE-O4,POST-J1b-H1,POST-O4,,13.72,14.20,-0.48
PRE-J1c,PRE-O4,POST-J1c-H1,POST-O4,,12.93,13.10,-0.17
PRE-J1d,PRE-O4,POST-J1d-H1,POST-O4,,13.78,14.20,-0.42
PRE-J1e,PRE-O4,POST-J1e-H1,POST-O4,,13.47,13.80,-0.33
